,date,daily_return
150,2021-02-04,0.00981003591506147
151,2021-02-05,0.004100370059304379
152,2021-02-08,0.0069340382961692384
153,2021-02-09,-0.0007388069646741134
154,2021-02-10,0.0014367806343260087
155,2021-02-11,-2.3936641206506764e-05
156,2021-02-12,0.0009733719029068789
157,2021-02-16,0.000761506171764201
158,2021-02-17,0.0034086454652087475
159,2021-02-18,-0.001374642021869201
160,2021-02-19,-0.0023725474570480544
161,2021-02-22,-0.0004450704681328324
162,2021-02-23,0.0005855237082368583
163,2021-02-24,0.01133696053755896
164,2021-02-25,-0.015673426053607994
165,2021-02-26,-0.015429760078233988
166,2021-03-01,0.017435959512990054
167,2021-03-02,-0.005171431065523966
168,2021-03-03,-0.0037165332319912584
169,2021-03-04,-0.00960032748813029
170,2021-03-05,0.021287291100149913
