,date,dji
603,2020-05-27,1029175.7766961531
604,2020-05-28,1023228.7557416888
605,2020-05-29,1022522.5342180299
606,2020-06-01,1026225.0044119174
607,2020-06-02,1037006.1337259093
608,2020-06-03,1058245.2582409622
609,2020-06-04,1058725.8287697623
610,2020-06-05,1092127.3688141985
611,2020-06-08,1110716.5890381609
612,2020-06-09,1098625.92863685
613,2020-06-10,1087253.4489472099
614,2020-06-11,1012252.6601915532
615,2020-06-12,1031482.7984783193
616,2020-06-15,1037832.3405240311
617,2020-06-16,1059054.5490823567
618,2020-06-17,1052191.3913830745
619,2020-06-18,1050599.796552182
620,2020-06-19,1042195.0837823732
621,2020-06-22,1048378.6134155495
622,2020-06-23,1053661.3486832657
623,2020-06-24,1025053.5547388165
624,2020-06-25,1037124.938817345
625,2020-06-26,1007715.9579549568
626,2020-06-29,1031090.5056399766
627,2020-06-30,1039835.2684794436
628,2020-07-01,1036696.7684149662
629,2020-07-02,1040418.5149316363
630,2020-07-06,1058935.6653120525
631,2020-07-07,1042949.1420580803
632,2020-07-08,1050083.3484593458
633,2020-07-09,1035533.343986452
634,2020-07-10,1050406.4825722766
635,2020-07-13,1050829.4601693342
636,2020-07-14,1073258.9172859283
637,2020-07-15,1082423.8252831867
638,2020-07-16,1076969.8847976138
639,2020-07-17,1074441.618037225
640,2020-07-20,1074800.944429666
641,2020-07-21,1081227.434408771
642,2020-07-22,1087891.92796509
643,2020-07-23,1073651.2888031392
644,2020-07-24,1066301.9743753942
645,2020-07-27,1070929.7080628453
646,2020-07-28,1062651.8256290592
647,2020-07-29,1069108.921688011
648,2020-07-30,1060008.0582897118
649,2020-07-31,1064627.3733382334
650,2020-08-03,1074137.5242104714
651,2020-08-04,1080746.8638799712
652,2020-08-05,1095774.6064423989
653,2020-08-06,1103245.637079714
654,2020-08-07,1105118.8235809694
655,2020-08-10,1119538.6932053638
656,2020-08-11,1115327.8788420956
657,2020-08-12,1127007.2847977555
658,2020-08-13,1123779.7989330045
659,2020-08-14,1125161.4785427384
660,2020-08-17,1121692.6845882966
661,2020-08-18,1119000.1363504792
662,2020-08-19,1115568.400143101
663,2020-08-20,1117455.6701618182
664,2020-08-21,1125133.7049021577
665,2020-08-24,1140366.169880423
666,2020-08-25,1137948.2895725402
667,2020-08-26,1141311.1817699804
668,2020-08-27,1147770.6381949873
669,2020-08-28,1154280.4490958343
670,2020-08-31,1145264.2441600414
