,account_value,date,daily_return,datadate
197,988615.161397828,2018-10-12,0.0079460561053577,2018-10-12
198,987596.7275599372,2018-10-15,-0.0010301620667546,2018-10-15
199,1011103.3349818124,2018-10-16,0.0238018279788683,2018-10-16
200,1007163.9637684334,2018-10-17,-0.0038961113835607,2018-10-17
201,992510.9267811287,2018-10-18,-0.0145488098407318,2018-10-18
202,990212.8613514412,2018-10-19,-0.0023154056722987,2018-10-19
203,986371.6611561287,2018-10-22,-0.003879166132088,2018-10-22
204,980346.3316883552,2018-10-23,-0.006108579255725,2018-10-23
205,952207.504661988,2018-10-24,-0.0287029451907128,2018-10-24
206,969389.022606324,2018-10-25,0.0180438799948703,2018-10-25
207,958155.219871949,2018-10-26,-0.0115885392472998,2018-10-26
208,950388.4575428476,2018-10-29,-0.0081059542003429,2018-10-29
209,967860.476463746,2018-10-30,0.0183840815639437,2018-10-30
210,975145.5882801522,2018-10-31,0.0075270268737739,2018-10-31
211,989185.4790272224,2018-11-01,0.0143977380565627,2018-11-01
212,986966.8149647224,2018-11-02,-0.0022429201697156,2018-11-02
213,991829.3088612068,2018-11-05,0.0049267045484788,2018-11-05
214,998165.0457996834,2018-11-06,0.0063879307476315,2018-11-06
215,1017893.4046864022,2018-11-07,0.0197646260703441,2018-11-07
216,1017335.9570545662,2018-11-08,-0.0005476483384895,2018-11-08
217,1005968.6853260506,2018-11-09,-0.0111735672465825,2018-11-09
218,983774.4472889412,2018-11-12,-0.0220625535971985,2018-11-12
219,980306.6535877694,2018-11-13,-0.003524988589334,2018-11-13
220,972333.1291737068,2018-11-14,-0.0081337042698635,2018-11-14
221,982364.0638660896,2018-11-15,0.0103163559806989,2018-11-15
222,986313.1316151132,2018-11-16,0.004019963569801,2018-11-16
223,969421.9511951912,2018-11-19,-0.0171255759236036,2018-11-19
224,949211.2854237068,2018-11-20,-0.0208481618830344,2018-11-20
225,953291.0691151132,2018-11-21,0.0042980775239993,2018-11-21
226,948729.0282215584,2018-11-23,-0.0047855697397746,2018-11-23
227,961621.2148670662,2018-11-26,0.0135889029027338,2018-11-26
228,961651.6661610116,2018-11-27,3.16666203641347e-05,2018-11-27
229,985703.6100086678,2018-11-28,0.0250110769772524,2018-11-28
230,983923.406151246,2018-11-29,-0.0018060234733301,2018-11-29
231,990791.995628785,2018-11-30,0.0069808172410559,2018-11-30
232,1001621.1406483162,2018-12-03,0.0109297865417845,2018-12-03
233,966309.0752186287,2018-12-04,-0.0352549122583726,2018-12-04
234,963533.2523426522,2018-12-06,-0.0028726035459705,2018-12-06
235,942761.3395008552,2018-12-07,-0.0215580653716868,2018-12-07
236,942590.5457996834,2018-12-10,-0.0001811632425045,2018-12-10
237,940579.4342274178,2018-12-11,-0.0021336004071199,2018-12-11
238,947897.653465699,2018-12-12,0.0077805435372848,2018-12-12
239,944902.489036988,2018-12-13,-0.003159797281658,2018-12-13
240,927321.2934803476,2018-12-14,-0.0186063596621052,2018-12-14
241,907166.812401246,2018-12-17,-0.0217340863633783,2018-12-17
242,909111.5047840584,2018-12-18,0.0021436987731782,2018-12-18
243,894006.6469959725,2018-12-19,-0.0166149671504528,2018-12-19
