date,ensemble
2020-09-01,1461431.6273374052
2020-09-02,1483866.3641538117
2020-09-03,1431793.4320249052
2020-09-04,1420159.9915952175
2020-09-08,1380780.3641538117
2020-09-09,1408567.9915952175
2020-09-10,1383823.2035092802
2020-09-11,1384560.1356381865
2020-09-14,1402184.1439389675
2020-09-15,1409495.347552249
2020-09-16,1402991.423724124
2020-09-17,1391200.7118100617
2020-09-18,1375659.1356381865
2020-09-21,1359757.4320249052
2020-09-22,1358399.0731606474
2020-09-23,1358399.0731606474
2020-09-24,1359439.471529788
2020-09-25,1366356.1976289093
2020-09-28,1391353.2722884552
2020-09-29,1386354.9851217072
2020-09-30,1398471.0370284456
2020-10-01,1404300.710520633
2020-10-02,1395088.878489383
2020-10-05,1420995.5509591098
2020-10-06,1400728.1554220004
2020-10-07,1426311.1569796177
2020-10-08,1433065.5983858677
2020-10-09,1449002.9157686802
2020-10-12,1477857.9460421177
2020-10-13,1474151.065182743
2020-10-14,1463433.182370243
2020-10-15,1458543.1599093052
2020-10-16,1456937.2770968052
2020-10-19,1433959.7224093052
2020-10-20,1439008.6569796177
2020-10-21,1434703.8044405552
2020-10-22,1439071.5866671177
2020-10-23,1442102.5114718052
2020-10-26,1415334.0837374302
2020-10-27,1417566.791745243
2020-10-28,1366133.9099093052
2020-10-29,1383499.369870243
2020-10-30,1358079.7038546177
2020-11-02,1369098.0759249302
2020-11-03,1395378.3874483677
2020-11-04,1437335.5388155552
2020-11-05,1471470.772213993
2020-11-06,1470692.4890108677
2020-11-09,1469819.8181124302
2020-11-10,1461016.6013155552
2020-11-11,1479923.9421358677
2020-11-12,1468149.3991671177
2020-11-13,1484878.4060030552
2020-11-16,1500750.8044405552
2020-11-17,1495852.7038546177
2020-11-18,1481876.459713993
2020-11-19,1491196.3981905552
2020-11-20,1483332.2087374302
2020-11-23,1491034.4157686802
2020-11-24,1511730.2106905552
2020-11-25,1513557.787838993
2020-11-27,1523452.346432743
2020-11-30,1518242.8835421177
2020-12-01,1534371.3513155552
2020-12-02,1534912.6872530552
