date,ensemble,dji
2019-05-14,992837.33066504,1028522.4273721265
2019-05-15,1004057.76816504,1033194.0638682009
2019-05-16,1013772.95566504,1041841.3435895959
2019-05-17,1003306.39316504,1037866.1724374862
2019-05-20,988727.20566504,1034478.3390387315
2019-05-21,999394.76816504,1042431.5137822167
2019-05-22,994930.08066504,1038374.1232125243
2019-05-23,979242.39316504,1026847.4329406234
2019-05-24,980359.83066504,1030683.1851377505
2019-05-28,976563.39316504,1021098.9187713854
2019-05-29,968878.26816504,1012181.7705310343
2019-05-30,971490.76816504,1013932.9261072458
2019-05-31,956825.76816504,999638.6279569782
2019-06-03,941449.14316504,999829.5815708283
2019-06-04,966293.95566504,1020470.904043016
2019-06-05,972484.01816504,1028825.3410158528
2019-06-06,977612.95566504,1036120.2883454643
2019-06-07,993811.39316504,1046726.1211404375
2019-06-10,1004188.33066504,1049898.0597240275
2019-06-11,1004111.51816504,1049327.244533058
2019-06-12,1000290.76816504,1047567.6703179169
2019-06-13,1005975.20566504,1051674.1565015535
2019-06-14,1000795.08066504,1050982.88396291
2019-06-17,1006985.14316504,1051906.180484761
2019-06-18,1020919.20566504,1066126.6778563755
2019-06-19,1025199.51816504,1067676.0221348833
2019-06-20,1033394.08066504,1077713.4787838103
2019-06-21,1030881.45566504,1076342.263463587
2019-06-24,1027552.20566504,1076680.975992481
2019-06-25,1012066.76816504,1069457.390396599
2019-06-26,1015298.76816504,1068998.1418411627
2019-06-27,1022695.83066504,1068585.6285336155
2019-06-28,1027621.33066504,1071541.6723020405
2019-07-01,1038491.08066504,1076273.7341691232
2019-07-02,1040786.08066504,1079063.3721306701
2019-07-03,1048612.01816504,1086287.0364054204
2019-07-05,1047531.70566504,1084519.3582668242
2019-07-08,1040249.0605556652,1079847.3283764073
2019-07-09,1038969.5797919934,1078934.8895384092
2019-07-10,1041842.819049806,1082025.0020987587
2019-07-11,1043854.1559638684,1091204.8590810325
2019-07-12,1046701.319049806,1101032.007114458
2019-07-15,1046593.0797919934,1102124.9352767959
2019-07-16,1043575.3415107434,1101177.0909479726
2019-07-17,1037632.9059638684,1096513.0076232743
2019-07-18,1041482.6129951184,1096638.7364551378
2019-07-19,1037002.526081056,1093868.3748163732
2019-07-22,1036827.0905341808,1094581.4414015918
2019-07-23,1043759.3405341808,1101723.2796531017
2019-07-24,1046714.7428779308,1098532.064746729
2019-07-25,1041529.2106513684,1093335.8762343633
2019-07-26,1046759.7975654308,1095409.2217770834
2019-07-29,1045741.5153388684,1096573.4329942823
2019-07-30,1042944.8844794934,1095633.6139100462
2019-07-31,1033416.666706056,1082188.9688607133
2019-08-01,1021900.1022529308,1070875.3409647115
2019-08-02,1015476.569049806,1066911.0274964548
2019-08-05,988442.7536201184,1036002.6634370565
2019-08-06,998778.3297919934,1048562.2498946295
2019-08-07,999159.1344794934,1047657.9149800868
2019-08-08,1014632.1022529308,1062607.9228204358
2019-08-09,1008280.471393556,1058952.1878744378
2019-08-12,995468.276081056,1043201.3078316238
2019-08-13,1006379.7653388684,1058648.880836369
2019-08-14,978231.2321357434,1026402.2679026488
2019-08-15,981508.9606513684,1030429.445786837
2019-08-16,995007.6999091808,1042781.1626738322
2019-08-19,1003500.1999091808,1052843.167129731
2019-08-20,996508.6999091808,1045860.0241559861
2019-08-21,1004219.069049806,1055539.8066687107
2019-08-22,1003543.6344794934,1057534.237306325
2019-08-23,982054.8629951184,1032423.8764244514
2019-08-26,990205.2868232434,1043297.6107666681
2019-08-27,986605.2321357434,1038426.129944603
2019-08-28,993334.5045966808,1048827.319002607
2019-08-29,1004773.6891669934,1061965.824574605
2019-08-30,1007368.8083076184,1063618.631565191
2019-09-03,1001563.928424806,1052127.3467841153
2019-09-04,1012064.6022529308,1061692.7302220406
2019-09-05,1021658.319049806,1076705.6024783214
2019-09-06,1022892.3083076184,1079497.6794847918
2019-09-09,1025052.1559638684,1081030.4225220464
2019-09-10,1027678.1344794934,1084008.1816581776
2019-09-11,1034665.6999091808,1093177.1022777297
2019-09-12,1037323.2321357434,1095006.3859703618
2019-09-13,1037978.1452216808,1096499.7108944976
2019-09-16,1036685.7545966808,1090751.2754041282
2019-09-17,1038536.6999091808,1092120.1303582967
2019-09-18,1037580.7536201184,1093581.5903406898
2019-09-19,1036944.0475654308,1091475.120994331
2019-09-20,1035565.4821357434,1085041.0778438498
2019-09-23,1034896.373737306,1085642.1057203235
2019-09-24,1027543.819049806,1079912.9465527367
2019-09-25,1031126.5153388684,1086476.8098362433
2019-09-26,1030425.776081056,1083270.5672659872
2019-09-27,1025941.7545966808,1080415.7045224535
2019-09-30,1028529.776081056,1084306.2958909252
2019-10-01,1015147.916706056,1070457.1627786322
2019-10-02,997221.2428779308,1050540.1579698585
2019-10-03,1003331.0905341808,1055471.6707685895
2019-10-04,1014847.7321357434,1070484.6217037388
2019-10-07,1010596.776081056,1066629.4358260923
2019-10-08,995837.1999091808,1053981.1782837196
2019-10-09,1003756.9499091808,1061311.6097830248
2019-10-10,1009669.2975654308,1067380.7403414017
2019-10-11,1022381.971393556,1080268.260322884
2019-10-14,1019956.6559638684,1079090.7523769082
2019-10-15,1028632.4606513684,1088655.7424204908
2019-10-16,1027751.5797919934,1087736.4585209333
2019-10-17,1031254.5045966808,1088699.2518347716
2019-10-18,1028679.8297919934,1078399.4798382646
2019-10-21,1035155.5153388684,1080713.4253608587
2019-10-22,1033832.2653388684,1079120.5716680698
2019-10-23,1037192.0797919934,1080967.5581061146
2019-10-24,1037548.428424806,1079822.7018905666
2019-10-25,1039708.276081056,1085967.2068049668
2019-10-28,1042883.2428779308,1091311.232911245
2019-10-29,1044716.0583076184,1090535.3805889632
2019-10-30,1047432.069049806,1095177.197793876
2019-10-31,1041728.2536201184,1089519.006965676
2019-11-01,1051876.5905341809,1101649.557553317
2019-11-04,1056235.0915107434,1106272.098435447
2019-11-05,1054982.8952216809,1107501.6131135013
2019-11-06,1055929.3522529309,1107498.7806742354
2019-11-07,1059403.7321357434,1114840.0698573936
2019-11-08,1060371.4821357434,1115099.4740868392
